Feature Set,Model,R2,RMSE,MAE
climate,XGBoost,0.5416211580972707,284.12633792467534,216.34223284040186
climate,GradientBoosting,0.46543684424131515,306.8306381680713,242.69399588280325
climate,RandomForest,0.16201842673176592,384.16380716154976,304.62966460867176
—,Baseline: persistence (t-1),-0.039205966599711095,427.809109633858,341.28571428571433
crop+climate,RandomForest,-0.09672927427566003,439.48993171347615,420.4984869425544
crop+climate,GradientBoosting,-0.18143890582253408,456.1470247638762,427.2408206258341
crop+climate,XGBoost,-0.1909707536685823,457.9834250433508,426.9599103655135
crop-lags,RandomForest,-0.24651868350234696,468.54208783567015,454.6517676581349
—,Baseline: 3-yr rolling mean,-0.5646151048643715,524.931907299973,511.40000000000003
crop-lags,XGBoost,-0.59113957014723,529.3627167173626,497.17277483258937
crop-lags,GradientBoosting,-0.6298112768133353,535.7570214647939,496.6967683792774
